"","ID","gene"
"645","MA0741.1","KLF16"
"646","MA0742.1","Klf12"
"647","MA0742.2","KLF12"
"648","MA0743.1","SCRT1"
"649","MA0743.2","SCRT1"
"650","MA0744.1","SCRT2"
"651","MA0744.2","SCRT2"
"652","MA0745.1","SNAI2"
"653","MA0745.2","SNAI2"
"654","MA0746.1","SP3"
"655","MA0746.2","SP3"
"656","MA0747.1","SP8"
"657","MA0748.1","YY2"
"658","MA0748.2","YY2"
"659","MA0749.1","ZBED1"
"660","MA0750.1","ZBTB7A"
"661","MA0750.2","ZBTB7A"
"662","MA0751.1","ZIC4"
"663","MA0752.1","ZNF410"
"664","MA0753.1","ZNF740"
"665","MA0753.2","ZNF740"
"666","MA0754.1","CUX1"
"667","MA0754.2","CUX1"
"668","MA0755.1","CUX2"
"669","MA0756.1","ONECUT2"
"670","MA0756.2","ONECUT2"
"671","MA0757.1","ONECUT3"
"672","MA0758.1","E2F7"
"673","MA0759.1","ELK3"
"674","MA0759.2","ELK3"
"675","MA0760.1","ERF"
"676","MA0761.1","ETV1"
"677","MA0761.2","ETV1"
"678","MA0762.1","ETV2"
"679","MA0763.1","ETV3"
"680","MA0764.1","ETV4"
"681","MA0764.2","ETV4"
"682","MA0764.3","ETV4"
"683","MA0765.1","ETV5"
"684","MA0765.2","ETV5"
"685","MA0765.3","ETV5"
"686","MA0766.1","GATA5"
"687","MA0766.2","GATA5"
"688","MA0767.1","GCM2"
"689","MA0768.1","LEF1"
"690","MA0768.2","Lef1"
"691","MA0769.1","Tcf7"
"692","MA0769.2","TCF7"
"693","MA0770.1","HSF2"
"694","MA0771.1","HSF4"
"695","MA0772.1","IRF7"
"696","MA0773.1","MEF2D"
"697","MA0774.1","MEIS2"
"698","MA0775.1","MEIS3"
"699","MA0776.1","MYBL1"
"700","MA0777.1","MYBL2"
"701","MA0778.1","NFKB2"
"702","MA0779.1","PAX1"
"703","MA0780.1","PAX3"
"704","MA0781.1","PAX9"
"705","MA0782.1","PKNOX1"
"706","MA0782.2","PKNOX1"
"707","MA0783.1","PKNOX2"
"708","MA0784.1","POU1F1"
"709","MA0784.2","POU1F1"
"710","MA0785.1","POU2F1"
"711","MA0786.1","POU3F1"
"712","MA0787.1","POU3F2"
"713","MA0788.1","POU3F3"
"714","MA0789.1","POU3F4"
"715","MA0790.1","POU4F1"
"716","MA0791.1","POU4F3"
"717","MA0792.1","POU5F1B"
"718","MA0793.1","POU6F2"
"719","MA0794.1","PROX1"
"720","MA0795.1","SMAD3"
"721","MA0796.1","TGIF1"
"722","MA0797.1","TGIF2"
"723","MA0798.1","RFX3"
"724","MA0798.2","RFX3"
"725","MA0798.3","RFX3"
"726","MA0799.1","RFX4"
"727","MA0799.2","RFX4"
"728","MA0800.1","EOMES"
"729","MA0801.1","MGA"
"730","MA0802.1","TBR1"
"731","MA0803.1","TBX15"
"732","MA0804.1","TBX19"
"733","MA0805.1","TBX1"
"734","MA0806.1","TBX4"
"735","MA0807.1","TBX5"
"736","MA0808.1","TEAD3"
"737","MA0809.1","TEAD4"
"738","MA0809.2","TEAD4"
"739","MA0810.1","TFAP2A"
"740","MA0811.1","TFAP2B"
"741","MA0812.1","TFAP2B"
"742","MA0813.1","TFAP2B"
"743","MA0814.1","TFAP2C"
"744","MA0814.2","TFAP2C"
"745","MA0815.1","TFAP2C"
"746","MA0816.1","Ascl2"
"747","MA0817.1","BHLHE23"
"748","MA0818.1","BHLHE22"
"749","MA0818.2","BHLHE22"
"750","MA0819.1","CLOCK"
"751","MA0819.2","CLOCK"
"752","MA0820.1","FIGLA"
"753","MA0821.1","HES5"
"754","MA0821.2","HES5"
"755","MA0822.1","HES7"
"756","MA0823.1","HEY1"
"757","MA0825.1","MNT"
"758","MA0826.1","OLIG1"
"759","MA0827.1","OLIG3"
"760","MA0828.1","SREBF2"
"761","MA0828.2","SREBF2"
"762","MA0829.1","Srebf1"
"763","MA0829.2","SREBF1"
"764","MA0830.1","TCF4"
"765","MA0830.2","TCF4"
"766","MA0831.1","TFE3"
"767","MA0831.2","TFE3"
"768","MA0831.3","TFE3"
"769","MA0832.1","Tcf21"
"770","MA0833.1","ATF4"
"771","MA0833.2","ATF4"
"772","MA0834.1","ATF7"
"773","MA0835.2","BATF3"
"774","MA0836.1","CEBPD"
"775","MA0836.2","CEBPD"
"776","MA0837.1","CEBPE"
"777","MA0837.2","CEBPE"
"778","MA0838.1","CEBPG"
"779","MA0839.1","CREB3L1"
"780","MA0840.1","Creb5"
"781","MA0841.1","NFE2"
"782","MA0842.1","NRL"
"783","MA0842.2","NRL"
"784","MA0843.1","TEF"
"785","MA0844.1","XBP1"
"786","MA0845.1","FOXB1"
"787","MA0846.1","FOXC2"
"788","MA0847.1","FOXD2"
"789","MA0847.2","FOXD2"
"790","MA0847.3","FOXD2"
"791","MA0848.1","FOXO4"
"792","MA0849.1","FOXO6"
"793","MA0850.1","FOXP3"
"794","MA0851.1","Foxj3"
"795","MA0852.1","Foxk1"
"796","MA0852.2","FOXK1"
"797","MA0853.1","Alx4"
"798","MA0854.1","Alx1"
"799","MA0855.1","RXRB"
"800","MA0856.1","RXRG"
"801","MA0857.1","Rarb"
"802","MA0858.1","Rarb"
"803","MA0859.1","Rarg"
"804","MA0860.1","Rarg"
"805","MA0861.1","TP73"
"806","MA0862.1","GMEB2"
"807","MA0863.1","MTF1"
"808","MA0864.1","E2F2"
"809","MA0864.2","E2F2"
"810","MA0865.1","E2F8"
"811","MA0865.2","E2F8"
"812","MA0866.1","SOX21"
"813","MA0867.1","SOX4"
"814","MA0867.2","SOX4"
"815","MA0868.1","SOX8"
"816","MA0868.2","SOX8"
"817","MA0869.1","Sox11"
"818","MA0869.2","Sox11"
"819","MA0870.1","Sox1"
"820","MA0871.1","TFEC"
"821","MA0871.2","TFEC"
"822","MA0872.1","TFAP2A"
"823","MA0873.1","HOXD12"
"824","MA0874.1","Arx"
"825","MA0875.1","BARX1"
"826","MA0876.1","BSX"
"827","MA0877.1","Barhl1"
"828","MA0877.2","BARHL1"
"829","MA0877.3","BARHL1"
"830","MA0878.1","CDX1"
"831","MA0878.2","CDX1"
"832","MA0878.3","CDX1"
"833","MA0879.1","Dlx1"
"834","MA0879.2","DLX1"
"835","MA0880.1","Dlx3"
"836","MA0881.1","Dlx4"
"837","MA0882.1","DLX6"
"838","MA0883.1","Dmbx1"
"839","MA0884.1","DUXA"
"840","MA0884.2","DUXA"
"841","MA0885.1","Dlx2"
"842","MA0885.2","Dlx2"
"843","MA0886.1","EMX2"
"844","MA0887.1","EVX1"
"845","MA0888.1","EVX2"
"846","MA0889.1","GBX1"
"847","MA0890.1","GBX2"
"848","MA0891.1","GSC2"
"849","MA0892.1","GSX1"
"850","MA0893.1","GSX2"
"851","MA0893.2","GSX2"
"852","MA0894.1","HESX1"
"853","MA0895.1","HMBOX1"
"854","MA0896.1","Hmx1"
"855","MA0897.1","Hmx2"
"856","MA0898.1","Hmx3"
"857","MA0899.1","HOXA10"
"858","MA0900.1","HOXA2"
"859","MA0900.2","HOXA2"
"860","MA0901.1","HOXB13"
"861","MA0901.2","HOXB13"
"862","MA0902.1","HOXB2"
